Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
NASA,Cape Canaveral,1958-01-31,22:48:00,Juno I,Explorer 1,Retired,,Success
NASA,Cape Canaveral,1969-07-16,13:32:00,Saturn V,Apollo 11,Retired,,Success
NASA,Cape Canaveral,1972-12-07,05:33:00,Saturn V,Apollo 17,Retired,,Success
NASA,Cape Canaveral,1981-04-12,12:00:00,Space Shuttle,STS-1,Retired,,Success
NASA,Cape Canaveral,1986-01-28,16:39:00,Space Shuttle,STS-51-L,Retired,,Failure
NASA,Cape Canaveral,1990-04-24,12:33:00,Titan IV,STS-31 Hubble,Retired,,Success
NASA,Vandenberg,1999-12-18,18:57:00,Delta II,Mars Polar Lander,Retired,,Failure
NASA,Cape Canaveral,2003-02-01,03:59:00,Space Shuttle,STS-107,Retired,,Failure
NASA,Cape Canaveral,2011-07-08,15:29:00,Atlas V,Juno,Active,,Success
NASA,Cape Canaveral,2020-07-30,11:50:00,Atlas V,Mars 2020 Perseverance,Active,,Success
SpaceX,Cape Canaveral,2010-06-04,18:45:00,Falcon 9 v1.0,Dragon C1,Retired,,Success
SpaceX,Cape Canaveral,2012-05-22,07:44:00,Falcon 9 v1.0,Dragon C2+,Retired,,Success
SpaceX,Cape Canaveral,2015-12-21,01:29:00,Falcon 9 FT,OG2 Mission 2,Active,,Success
SpaceX,Cape Canaveral,2016-09-01,13:07:00,Falcon 9 FT,Amos-6,Active,,Failure
SpaceX,Cape Canaveral,2017-03-30,22:27:00,Falcon 9 FT,SES-10,Active,,Success
SpaceX,Cape Canaveral,2018-02-06,20:45:00,Falcon Heavy,Starman,Active,,Success
SpaceX,Cape Canaveral,2020-05-30,19:22:00,Falcon 9 FT,Crew Dragon Demo-2,Active,,Success
SpaceX,Cape Canaveral,2021-09-15,00:02:00,Falcon 9 FT,Inspiration4,Active,,Success
SpaceX,Cape Canaveral,2022-04-08,11:17:00,Falcon 9 FT,Axiom-1,Active,,Success
SpaceX,Cape Canaveral,2023-04-20,13:33:00,Starship,Starship IFT-1,Active,,Failure
Roscosmos,Baikonur,1961-04-12,06:07:00,Vostok-K,Vostok 1,Retired,,Success
Roscosmos,Baikonur,1963-06-16,09:29:00,Vostok-K,Vostok 6,Retired,,Success
Roscosmos,Baikonur,1986-02-20,00:28:00,Proton-K,Mir Core,Retired,,Success
Roscosmos,Baikonur,1998-11-20,06:40:00,Proton-K,Zarya,Retired,,Success
Roscosmos,Baikonur,2003-02-02,00:59:00,Soyuz-U,Soyuz TMA-1,Retired,,Partial Failure
Roscosmos,Baikonur,2010-12-05,10:25:00,Soyuz-FG,Soyuz TMA-20,Retired,,Success
Roscosmos,Baikonur,2018-10-11,08:40:00,Soyuz-FG,Soyuz MS-10,Retired,,Failure
Roscosmos,Baikonur,2020-10-14,05:45:00,Soyuz-2.1a,Soyuz MS-17,Active,,Success
Roscosmos,Baikonur,2022-02-15,04:25:00,Soyuz-2.1a,Soyuz MS-21,Active,,Success
CNSA,Jiuquan,2003-10-15,01:00:00,Long March 2F,Shenzhou 5,Active,,Success
CNSA,Jiuquan,2008-09-25,21:10:00,Long March 2F,Shenzhou 7,Active,,Success
CNSA,Wenchang,2020-07-23,04:41:00,Long March 5,Tianwen-1,Active,,Success
CNSA,Wenchang,2021-04-29,11:23:00,Long March 5,Tianhe Core Module,Active,,Success
CNSA,Wenchang,2022-07-24,06:22:00,Long March 5,Wentian,Active,,Success
CNSA,Jiuquan,2022-11-29,15:08:00,Long March 2F,Shenzhou 15,Active,,Success
ESA,Kourou,1979-12-24,17:14:00,Ariane 1,ARIANE L01,Retired,,Success
ESA,Kourou,1996-06-04,12:34:00,Ariane 5,ARIANE 501,Retired,,Failure
ESA,Kourou,2008-03-09,04:03:00,Ariane 5,ATV-1 Jules Verne,Retired,,Success
ESA,Kourou,2019-07-25,22:50:00,Vega,S.S.L.15,Active,,Failure
ESA,Kourou,2022-07-13,13:13:00,Vega-C,VV21,Active,,Failure
ULA,Cape Canaveral,2018-05-05,11:05:00,Atlas V,InSight,Active,,Success
ULA,Cape Canaveral,2021-07-30,13:50:00,Atlas V,Starliner OFT-2,Active,,Success
ULA,Cape Canaveral,2023-07-28,11:01:00,Atlas V,Juno Clipper,Active,,Prelaunch Failure
Rocket Lab,Mahia,2017-05-25,06:58:00,Electron,Its a Test,Active,,Failure
Rocket Lab,Mahia,2018-01-21,01:43:00,Electron,Still Testing,Active,,Partial Failure
Rocket Lab,Mahia,2018-11-11,03:50:00,Electron,Its Business Time,Active,,Success
Rocket Lab,Mahia,2020-06-13,09:43:00,Electron,Pics Or It Didnt Happen,Active,,Success
Rocket Lab,Mahia,2021-05-15,11:11:00,Electron,Running Out of Toes,Active,,Success
ISRO,Satish Dhawan,2008-10-22,00:52:00,PSLV,Chandrayaan-1,Active,,Success
ISRO,Satish Dhawan,2013-11-05,09:08:00,PSLV,Mars Orbiter Mission,Active,,Success
ISRO,Satish Dhawan,2017-02-15,03:58:00,PSLV,Cartosat-2D,Active,,Success
ISRO,Satish Dhawan,2019-07-22,09:13:00,GSLV Mk III,Chandrayaan-2,Active,,Partial Failure
ISRO,Satish Dhawan,2023-07-14,09:05:00,LVM3,Chandrayaan-3,Active,,Success
